metric,identity_top_cluster_id_2024,identity_top_cluster_name_2024,trend_fastest_increase_cluster_id,trend_fastest_increase_cluster_name,trend_fastest_decrease_cluster_id,trend_fastest_decrease_cluster_name,disagreement_note
E02_06_Urban_Population_Proportion,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E08_12_Nitrogen_Oxides,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E08_12_Sulphur_Dioxide,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E08_33_Investment_in_Urban_Environmental_Infrastructure,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_05_Consumption_of_Chemical_Fertilizers,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_05_Irrigated_Area_of_Cultivated_Land,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_07_Capacity_of_Reservoirs,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_07_Number_of_Reservoirs,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Beetroots,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Cereals,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Cotton,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Rice,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Soybeans,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Sugar_Crops,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Sugarcane,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,1,Eastern production-infrastructure belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_08_Tubers,3,Inland surveillance-gap belt,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Cereals,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Citrus,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Fiber_Crops,1,Eastern production-infrastructure belt,2,Urban-industrial wastewater core,3,Inland surveillance-gap belt,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
E12_10_Fruits,1,Eastern production-infrastructure belt,3,Inland surveillance-gap belt,2,Urban-industrial wastewater core,2024 highest-median cluster is not the cluster with the steepest 2019-2024 increase.
