antibiotic,antibiotic_group,primary_source,environmental_signature
Chlortetracycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Demeclocycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Doxycycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Methacycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Minocycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Oxytetracycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Tetracycline,Tetracyclines,Agriculture,High in soil & sediment; persistent; strong sorption
Cinoxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Ciprofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Danofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Difloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Enoxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Enrofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Fleroxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Gatifloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Lomefloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Mabofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Marbofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Moxifloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Nadifloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Nalidixic acid,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Norfloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Ofloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Oxolinic acid,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Pefloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Pipemidic acid,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Sarafloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Sparfloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Tosufloxacin,Fluoroquinolones,Clinical + Agriculture,Moderate in water & sediment; mobile but persistent
Acetylspiramycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Azithromycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Clarithromycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Erythromycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Josamycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Leucomycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Roxithromycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Spiramycin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Tylosin,Macrolides,Clinical,Higher in urban sludge; low agricultural use
Amoxicillin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Ampicillin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Cefazolin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Cefotaxime,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Cefoxitin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Ceftriaxone,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Cephalexin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Cloxacillin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Mecillinam,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Oxacillin,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Penicillin G,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Penicillin V,β-Lactams,Clinical,Low environmental persistence (degrade quickly); found mainly in wastewater
Chloramphenicol,Phenicols,Agriculture,Detected in aquaculture sediments and livestock soils
Florfenicol,Phenicols,Agriculture,Detected in aquaculture sediments and livestock soils
Thiamphenicol,Phenicols,Agriculture,Detected in aquaculture sediments and livestock soils
Gentamicin,Aminoglycosides,Clinical,Moderate persistence; found in sludge & hospital effluents
Spectinomycin,Aminoglycosides,Clinical,Moderate persistence; found in sludge & hospital effluents
Streptomycin,Aminoglycosides,Clinical,Moderate persistence; found in sludge & hospital effluents
Clindamycin,Lincosamides,Clinical + Agriculture,Moderate persistence; used for Gram-positive infections
Lincomycin,Lincosamides,Clinical + Agriculture,Moderate persistence; used for Gram-positive infections
Sulfabenzamide,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfacetamide,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfachinoxaline,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfachloropyridazine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfadiazine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfadimethoxine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfadoxine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfaguanidine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamerazine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfameter,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamethazine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamethizole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamethoxazole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamethoxydiazine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamonomethoxine,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfamoxole,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
Sulfanilamide,Sulfonamides,Clinical + Agriculture,Highly mobile in water; lower sorption; higher in surface water & groundwater
