province,cluster_id,cluster_name,exception_labels,pathway_evidence,pathway_class,pathway_score,specific_evidence
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Piperacillin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Cefazolin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | A. baumannii | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Levofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | S. aureus | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | A. baumannii | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | A. baumannii | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Cefuroxime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftriaxone,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | S. aureus | Nitrofurantoin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Imipenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Tobramycin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | A. baumannii | Imipenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Meropenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Ciprofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Nitrofurantoin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | S. aureus | Clindamycin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Ciprofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
