cluster_id,cluster_name,matrix,antibiotic_or_class,amr_endpoint_or_index,burden_signal,pathway_score,pathway_class,reservoir_interpretation,sparse_or_too_little_data,notes
2,Urban-industrial wastewater core,sediment,other,E. coli | Cefoxitin,0.9222385878728409,15,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
1,Eastern production-infrastructure belt,sediment,other,E. coli | Cefoxitin,0.39748945455838625,15,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater effluent,beta-lactams,,5.353580260016335,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater influent,fluoroquinolones,,3.467815215399414,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,sludge,lincosamides,,3.052886235256382,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,wastewater influent,fluoroquinolones,,2.7603494289866153,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,surface water,diaminopyrimidines,,2.727541257028556,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,sludge,phenicols,,2.682145076373832,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater influent,macrolides,,2.5538830266438746,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater effluent,fluoroquinolones,,2.5217916496391233,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater influent,beta-lactams,,2.4927603890268375,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,surface water,macrolides,,2.4216039268698313,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,wastewater effluent,fluoroquinolones,,2.4055171069763763,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,wastewater influent,diaminopyrimidines,,2.3710678622717363,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
3,Inland surveillance-gap belt,wastewater influent,sulfonamides,,2.362967468324624,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
2,Urban-industrial wastewater core,surface water,sulfonamides,,2.3404441148401185,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
1,Eastern production-infrastructure belt,wastewater influent,macrolides,,2.335698551498222,NA,Too sparse,sparse / too little data,TRUE,"Reservoir language is descriptive and requires coverage, coherent direction, LOO stability, and matrix evidence."
