province,cluster_id,cluster_name,NBS_region,RR_ranking
Beijing,2,Urban-industrial wastewater core,Eastern,4
Shanghai,2,Urban-industrial wastewater core,Eastern,2
Zhejiang,1,Eastern production-infrastructure belt,Eastern,5
Tianjin,2,Urban-industrial wastewater core,Eastern,7
Jiangsu,1,Eastern production-infrastructure belt,Eastern,1
Shandong,1,Eastern production-infrastructure belt,Eastern,6
Fujian,1,Eastern production-infrastructure belt,Eastern,3
Anhui,1,Eastern production-infrastructure belt,Central,8
Chongqing,3,Inland surveillance-gap belt,Western,10
Hubei,1,Eastern production-infrastructure belt,Central,9
Qinghai,3,Inland surveillance-gap belt,Western,23
Tibet,3,Inland surveillance-gap belt,Western,17
Guangdong,2,Urban-industrial wastewater core,Eastern,11
Hunan,1,Eastern production-infrastructure belt,Central,13
Henan,1,Eastern production-infrastructure belt,Central,15
Hebei,2,Urban-industrial wastewater core,Eastern,14
Gansu,3,Inland surveillance-gap belt,Western,24
Yunnan,3,Inland surveillance-gap belt,Western,20
Guizhou,3,Inland surveillance-gap belt,Western,22
Ningxia,3,Inland surveillance-gap belt,Western,16
Sichuan,3,Inland surveillance-gap belt,Western,19
Xinjiang,3,Inland surveillance-gap belt,Western,18
Jiangxi,1,Eastern production-infrastructure belt,Central,12
Guangxi,1,Eastern production-infrastructure belt,Western,26
Jilin,3,Inland surveillance-gap belt,Northeastern,21
Inner Mongolia,3,Inland surveillance-gap belt,Western,25
Shaanxi,3,Inland surveillance-gap belt,Western,27
Shanxi,3,Inland surveillance-gap belt,Central,30
Hainan,1,Eastern production-infrastructure belt,Eastern,31
Heilongjiang,3,Inland surveillance-gap belt,Northeastern,29
Liaoning,2,Urban-industrial wastewater core,Northeastern,28
