table,name,definition,type,allowed_values,units,missing_value_rules
env_abx_per_province,antibiotic,Antibiotic analyte for the province median.,string,antibiotic names as cleaned from literature sources,n/a,Not missing in curated output; every row has a value.
env_abx_per_province,antibiotic_class,Pharmacological class assigned from the project antibiotic group lookup.,categorical,Beta-lactams; Diaminopyrimidines; Fluoroquinolones; Lincosamides; Macrolides; Other; Phenicols; Quinolones; Sulfonamides; Tetracyclines,n/a,NA if the antibiotic is unmapped in the lookup.
env_abx_per_province,concentration_unit,Unit of median_concentration.,categorical,ng/L; ng/g; ng/g dw,n/a,Not missing in curated output; every row has a value.
env_abx_per_province,median_concentration,Median environmental concentration across sites/records in the cell.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
env_abx_per_province,province,Province for the median concentration.,categorical,Anhui; Beijing; Chongqing; Fujian; Gansu; Guangdong; Guangxi; Guizhou; Hainan; Hebei; Heilongjiang; Henan; Hubei; Hunan; Inner Mongolia; Jiangsu; Jiangxi; Jilin; Liaoning; Ningxia; Qinghai; Shaanxi; Shandong; Shanghai; Shanxi; Sichuan; Tianjin; Tibet; Xinjiang; Yunnan; Zhejiang,n/a,Not missing in curated output; every row has a value.
env_abx_per_province,reference_number,Publication ID retained with the aggregated cell.,string,reference IDs as in source extracts (numeric or N-prefixed),n/a,NA/blank means not available or not reported in the curated table.
env_abx_per_province,sample_type,Literature sample category aggregated to province median.,categorical,MSW incineration leachate; agricultural soil; aquaculture pond water; aquaculture wastewater; coastal water; groundwater; hospital wastewater; lake sediment; livestock wastewater; municipal sludge; municipal wastewater (urban sewer); municipal wastewater effluent; pharmaceutical wastewater; river water (suspended matter fraction); sediment; soil; surface water; surface water sediment; wastewater influent,n/a,Not missing in curated output; every row has a value.
env_abx_per_province,sample_year,Representative or retained sample year for the aggregated cell.,integer,calendar year,n/a,NA/blank means not available or not reported in the curated table.
env_abx_per_site,antibiotic,Antibiotic analyte for the site median.,string,antibiotic names as cleaned from literature sources,n/a,Not missing in curated output; every row has a value.
env_abx_per_site,antibiotic_class,Pharmacological class assigned from the project antibiotic group lookup.,categorical,Beta-lactams; Diaminopyrimidines; Fluoroquinolones; Lincosamides; Macrolides; Other; Phenicols; Quinolones; Sulfonamides; Tetracyclines,n/a,NA if the antibiotic is unmapped in the lookup.
env_abx_per_site,concentration_unit,Unit of median_concentration.,categorical,ng/L; ng/g; ng/g dw,n/a,Not missing in curated output; every row has a value.
env_abx_per_site,lat,Site latitude when geocoded or reported.,numeric,decimal degrees,degrees,NA/blank means not available or not reported in the curated table.
env_abx_per_site,location,Heterogeneous literature site label (not a formal site ID).,string,free-text location strings from source studies,n/a,NA/blank means not available or not reported in the curated table.
env_abx_per_site,lon,Site longitude when geocoded or reported.,numeric,decimal degrees,degrees,NA/blank means not available or not reported in the curated table.
env_abx_per_site,median_concentration,Median environmental concentration for the site cell.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
env_abx_per_site,province,Province of the sampling site.,categorical,Anhui; Beijing; Chongqing; Fujian; Gansu; Guangdong; Guangxi; Guizhou; Hainan; Hebei; Heilongjiang; Henan; Hubei; Hunan; Inner Mongolia; Jiangsu; Jiangxi; Jilin; Liaoning; Ningxia; Qinghai; Shaanxi; Shandong; Shanghai; Shanxi; Sichuan; Tianjin; Tibet; Xinjiang; Yunnan; Zhejiang,n/a,Not missing in curated output; every row has a value.
env_abx_per_site,reference_number,Publication ID retained with the site cell.,string,reference IDs as in source extracts (numeric or N-prefixed),n/a,NA/blank means not available or not reported in the curated table.
env_abx_per_site,sample_type,Literature sample category for the site median.,categorical,MSW incineration leachate; agricultural soil; aquaculture pond water; aquaculture wastewater; coastal water; groundwater; hospital wastewater; lake sediment; livestock wastewater; municipal sludge; municipal wastewater (urban sewer); municipal wastewater effluent; pharmaceutical wastewater; river water (suspended matter fraction); sediment; soil; surface water; surface water sediment; wastewater influent,n/a,Not missing in curated output; every row has a value.
env_abx_per_site,sample_year,Sample year retained with the site cell.,integer,calendar year,n/a,NA/blank means not available or not reported in the curated table.
env_abx_per_site,season,Sampling season or month: Zhang month 1-12 or sparse supplemental text.,string,1-12 or free-text season labels,n/a,NA/blank means not available or not reported in the curated table.
environmental_by_site,antibiotic,Antibiotic analyte name after cleaning.,string,antibiotic names as cleaned from literature sources,n/a,Not missing in curated output; every row has a value.
environmental_by_site,antibiotic_class,Pharmacological class assigned from the project antibiotic group lookup.,categorical,Beta-lactams; Diaminopyrimidines; Fluoroquinolones; Lincosamides; Macrolides; Other; Phenicols; Quinolones; Sulfonamides; Tetracyclines,n/a,NA if the antibiotic is unmapped in the lookup.
environmental_by_site,concentration_unit,Unit of mean_concentration and max_concentration after conversion.,categorical,ng/L; ng/g; ng/g dw,n/a,Not missing in curated output; every row has a value.
environmental_by_site,lat,Site latitude when geocoded or reported.,numeric,decimal degrees,degrees,NA/blank means not available or not reported in the curated table.
environmental_by_site,location,Heterogeneous literature site label (not a formal site ID).,string,free-text location strings from source studies,n/a,NA/blank means not available or not reported in the curated table.
environmental_by_site,lon,Site longitude when geocoded or reported.,numeric,decimal degrees,degrees,NA/blank means not available or not reported in the curated table.
environmental_by_site,matrix,Harmonized environmental matrix for cross-study comparison.,categorical,sediment; sludge; soil; surface water; wastewater effluent; wastewater influent,n/a,Not missing in curated output; every row has a value.
environmental_by_site,max_concentration,Reported maximum environmental concentration when available.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
environmental_by_site,mean_concentration,Reported or derived mean environmental concentration.,numeric,non-negative numeric,see concentration_unit,NA/blank means not available or not reported in the curated table.
environmental_by_site,province,Province assigned to the measurement (English name).,categorical,Anhui; Beijing; Chongqing; Fujian; Gansu; Guangdong; Guangxi; Guizhou; Hainan; Hebei; Heilongjiang; Henan; Hubei; Hunan; Inner Mongolia; Jiangsu; Jiangxi; Jilin; Liaoning; Ningxia; Qinghai; Shaanxi; Shandong; Shanghai; Shanxi; Sichuan; Tianjin; Tibet; Xinjiang; Yunnan; Zhejiang,n/a,Not missing in curated output; every row has a value.
